timestamp,object_x,error,turn_vel,left_setpoint,right_setpoint,object_found,robot_x,robot_y,robot_theta
2.88007,138.07,21.9302,0.438605,-1.5614,1.5614,1,0.0871193,-1.17073e-06,2.48899e-05
2.90009,138.07,21.9302,0.438605,-1.5614,1.5614,1,0.0883925,-1.15314e-06,2.51218e-05
2.92014,138.07,21.9302,0.438605,-1.5614,1.5614,1,0.0896126,-1.13397e-06,2.53106e-05
2.94012,138.249,21.751,0.435019,-1.56498,1.56498,1,0.0908383,-1.11283e-06,2.54731e-05
2.96007,138.249,21.751,0.435019,-1.56498,1.56498,1,0.0920677,-1.09002e-06,2.56131e-05
2.98008,138.249,21.751,0.435019,-1.56498,1.56498,1,0.0932998,-1.06579e-06,2.57335e-05
3.00007,137.327,22.673,0.45346,-1.54654,1.54654,1,0.0945986,-1.03898e-06,2.58422e-05
3.02006,137.327,22.673,0.45346,-1.54654,1.54654,1,0.0957649,-1.01396e-06,2.59264e-05
3.04012,136.46,23.5397,0.470794,-1.52921,1.52921,1,0.0969899,-9.86871e-07,2.60032e-05
3.06007,136.46,23.5397,0.470794,-1.52921,1.52921,1,0.0982084,-9.59208e-07,2.60693e-05
3.08007,136.46,23.5397,0.470794,-1.52921,1.52921,1,0.0994187,-9.31118e-07,2.61262e-05
3.10006,135.897,24.1027,0.482054,-1.51795,1.51795,1,0.100688,-9.0108e-07,2.61776e-05
3.12006,135.897,24.1027,0.482054,-1.51795,1.51795,1,0.101889,-8.7218e-07,2.62195e-05
3.14011,135.897,24.1027,0.482054,-1.51795,1.51795,1,0.103085,-8.43013e-07,2.62555e-05
3.16006,136.19,23.8099,0.476198,-1.5238,1.5238,1,0.104278,-8.13571e-07,2.62865e-05
3.18009,136.19,23.8099,0.476198,-1.5238,1.5238,1,0.105471,-7.83842e-07,2.63131e-05
3.20006,136.19,23.8099,0.476198,-1.5238,1.5238,1,0.106728,-7.52233e-07,2.63372e-05
3.22006,138.937,21.0625,0.421251,-1.57875,1.57875,1,0.10786,-7.23557e-07,2.63559e-05
3.2401,138.937,21.0625,0.421251,-1.57875,1.57875,1,0.109065,-6.13838e-07,2.48069e-05
3.26007,138.937,21.0625,0.421251,-1.57875,1.57875,1,0.110291,-4.61878e-07,2.31628e-05
3.28006,142.727,0,0,-2,2,1,0.111528,-3.46566e-07,2.17342e-05
3.30009,142.727,0,0,-2,2,1,0.112919,-2.3901e-07,2.04454e-05
3.32007,147.673,0,0,-2,2,1,0.114319,-1.49687e-07,1.9448e-05
3.3401,147.673,0,0,-2,2,1,0.115878,-6.41171e-08,1.85377e-05
3.36008,147.673,0,0,-2,2,1,0.117483,1.31475e-08,1.77538e-05
3.38007,154.033,0,0,-2,2,1,0.119112,8.298e-08,1.70788e-05
3.40009,154.033,0,0,-2,2,1,0.120841,1.49411e-07,1.64693e-05
3.42016,154.033,0,0,-2,2,1,0.122403,2.03778e-07,1.5997e-05
3.44011,161.658,0,0,-2,2,1,0.124056,2.5633e-07,1.5566e-05
3.46005,161.658,0,0,-2,2,1,0.12571,3.04572e-07,1.51948e-05
3.48007,161.658,0,0,-2,2,1,0.127366,3.49093e-07,1.48751e-05
3.50009,169.74,0,0,-2,2,1,0.129109,3.92497e-07,1.45865e-05
3.52006,169.74,0,0,-2,2,1,0.130591,4.26981e-07,1.43744e-05
3.54012,169.74,0,0,-2,2,1,0.132247,4.63256e-07,1.41687e-05
3.56071,176.64,0,0,-2,2,1,0.133817,4.95708e-07,1.40002e-05
3.58007,176.64,0,0,-2,2,1,0.135473,5.28217e-07,1.38465e-05
3.60012,182.361,-22.3613,-0.447226,-2.44723,2.44723,1,0.137217,5.60768e-07,1.37076e-05
3.62011,182.361,-22.3613,-0.447226,-2.44723,2.44723,1,0.138857,5.89767e-07,1.36e-05
3.64011,182.361,-22.3613,-0.447226,-2.44723,2.44723,1,0.14075,6.21449e-07,1.35018e-05
3.66007,187.241,-27.2409,-0.544817,-2.54482,2.54482,1,0.142735,6.53364e-07,1.34172e-05
3.68007,187.241,-27.2409,-0.544817,-2.54482,2.54482,1,0.144676,6.83604e-07,1.33479e-05
3.70007,187.241,-27.2409,-0.544817,-2.54482,2.54482,1,0.146899,7.17274e-07,1.32816e-05
3.72009,192.164,-32.1637,-0.643275,-2.64327,2.64327,1,0.148932,7.47379e-07,1.32301e-05
3.74012,192.164,-32.1637,-0.643275,-2.64327,2.64327,1,0.150997,7.77391e-07,1.31854e-05
3.76025,192.164,-32.1637,-0.643275,-2.64327,2.64327,1,0.153221,8.09182e-07,1.31447e-05
3.78008,196.76,-36.7597,-0.735195,-2.73519,2.73519,1,0.155472,8.4088e-07,1.31095e-05
3.80028,196.76,-36.7597,-0.735195,-2.73519,2.73519,1,0.157875,8.74302e-07,1.30778e-05
3.82008,200.783,-40.7834,-0.815669,-2.81567,2.81567,1,0.160076,9.04569e-07,1.30531e-05
3.84011,200.783,-40.7834,-0.815669,-2.81567,2.81567,1,0.162433,9.36684e-07,1.30307e-05
3.86008,200.783,-40.7834,-0.815669,-2.81567,2.81567,1,0.164831,9.69095e-07,1.30113e-05
3.88009,205.341,-45.3407,-0.906813,-2.90681,2.90681,1,0.167251,1.00159e-06,1.29946e-05
3.90007,205.341,-45.3407,-0.906813,-2.90681,2.90681,1,0.1697,1.03428e-06,1.29802e-05
3.92009,205.341,-45.3407,-0.906813,-2.90681,2.90681,1,0.172057,1.06558e-06,1.29684e-05
3.94022,209.855,-49.8554,-0.997107,-2.99711,2.99711,1,0.174566,1.09877e-06,1.29576e-05
3.96035,209.855,-49.8554,-0.997107,-2.99711,2.99711,1,0.177103,1.13221e-06,1.29484e-05
3.98015,213.6,-53.5997,-1.07199,-3.07199,3.07199,1,0.179679,1.16605e-06,1.29404e-05
4.00007,213.6,-53.5997,-1.07199,-3.07199,3.07199,1,0.182429,1.20206e-06,1.29331e-05
4.02007,213.6,-53.5997,-1.07199,-3.07199,3.07199,1,0.18494,1.23487e-06,1.29275e-05
4.04082,217.159,-57.159,-1.14318,-3.14318,3.14318,1,0.187611,1.26971e-06,1.29224e-05
4.06006,217.159,-57.159,-1.14318,-3.14318,3.14318,1,0.190305,1.30479e-06,1.2918e-05
4.08007,217.159,-57.159,-1.14318,-3.14318,3.14318,1,0.193032,1.34024e-06,1.29142e-05
4.10007,220.455,-60.4549,-1.2091,-3.2091,3.2091,1,0.19592,1.37774e-06,1.29107e-05
4.12006,220.455,-60.4549,-1.2091,-3.2091,3.2091,1,0.198539,1.41171e-06,1.29081e-05
4.14078,220.455,-60.4549,-1.2091,-3.2091,3.2091,1,0.201184,1.44599e-06,1.29057e-05
