timestamp,object_x,object_y,error_th,error_x,th_set,x_set,left_vel,right_vel,object_found,robot_x,robot_y,robot_theta
2.92014,0,0,45,45,0,0,0,0,0,0,0,0
2.94014,0,0,45,45,0,0,0,0,0,0,0,0
2.96014,0,0,45,45,0,0,0,0,0,0,0,0
2.98049,0,0,45,45,0,0,0,0,0,0,0,0
3.00044,0,0,45,45,0,0,0,0,0,0,0,0
3.02013,0,0,45,45,0,0,0,0,0,0,0,0
3.04017,0,0,45,45,0,0,0,0,0,0,0,0
3.06015,0,0,45,45,0,0,0,0,0,0,0,0
3.08017,0,0,45,45,0,0,0,0,0,0,0,0
3.1002,0,0,45,45,0,0,0,0,0,0,0,0
3.1202,0,0,45,45,0,0,0,0,0,0,0,0
3.14015,0,0,45,45,0,0,0,0,0,0,0,0
3.16016,0,0,45,45,0,0,0,0,0,0,0,0
3.18018,0,0,45,45,0,0,0,0,0,0,0,0
3.20014,0,0,45,45,0,0,0,0,0,0,0,0
3.22015,0,0,45,45,0,0,0,0,0,0,0,0
3.24019,0,0,45,45,0,0,0,0,0,0,0,0
3.26014,0,0,45,45,0,0,0,0,0,0,0,0
3.28013,0,0,45,45,0,0,0,0,0,0,0,0
3.30014,0,0,45,45,0,0,0,0,0,0,0,0
3.32022,0,0,45,45,0,0,0,0,0,0,0,0
3.34016,0,0,45,45,0,0,0,0,0,0,0,0
3.36014,0,0,45,45,0,0,0,0,0,0,0,0
3.38014,0,0,45,45,0,0,0,0,0,0,0,0
3.40017,0,0,45,45,0,0,0,0,0,0,0,0
3.42013,0,0,45,45,0,0,0,0,0,0,0,0
3.44015,0,0,45,45,0,0,0,0,0,0,0,0
3.46015,0,0,45,45,0,0,0,0,0,0,0,0
3.48016,0,0,45,45,0,0,0,0,0,0,0,0
3.5002,0,0,45,45,0,0,0,0,0,0,0,0
3.52014,0,0,45,45,0,0,0,0,0,0,0,0
3.54013,0,0,45,45,0,0,0,0,0,0,0,0
3.56017,0,0,45,45,0,0,0,0,0,0,0,0
3.5802,0,0,45,45,0,0,0,0,0,0,0,0
3.60014,0,0,45,45,0,0,0,0,0,0,0,0
3.62027,0,0,45,45,0,0,0,0,0,0,0,0
3.64014,0,0,45,45,0,0,0,0,0,0,0,0
3.66015,0,0,45,45,0,0,0,0,0,0,0,0
3.68014,0,0,45,45,0,0,0,0,0,0,0,0
3.70014,0,0,45,45,0,0,0,0,0,0,0,0
3.72013,0,0,45,45,0,0,0,0,0,0,0,0
3.7402,0,0,45,45,0,0,0,0,0,0,0,0
3.76015,0,0,45,45,0,0,0,0,0,0,0,0
3.78013,0,0,45,45,0,0,0,0,0,0,0,0
3.80018,0,0,45,45,0,0,0,0,0,0,0,0
3.82013,0,0,45,45,0,0,0,0,0,0,0,0
3.84015,0,0,45,45,0,0,0,0,0,0,0,0
3.8602,0,0,45,45,0,0,0,0,0,0,0,0
3.88013,0,0,45,45,0,0,0,0,0,0,0,0
3.90015,0,0,45,45,0,0,0,0,0,0,0,0
3.92016,0,0,45,45,0,0,0,0,0,0,0,0
3.94016,0,0,45,45,0,0,0,0,0,0,0,0
3.96015,0,0,45,45,0,0,0,0,0,0,0,0
3.98026,0,0,45,45,0,0,0,0,0,0,0,0
4.00013,0,0,45,45,0,0,0,0,0,0,0,0
4.02093,0,0,45,45,0,0,0,0,0,0,0,0
4.04017,0,0,45,45,0,0,0,0,0,0,0,0
4.06014,0,0,45,45,0,0,0,0,0,0,0,0
4.08014,0,0,45,45,0,0,0,0,0,0,0,0
4.10013,0,0,45,45,0,0,0,0,0,0,0,0
4.12012,0,0,45,45,0,0,0,0,0,0,0,0
4.14012,0,0,45,45,0,0,0,0,0,0,0,0
4.16019,0,0,45,45,0,0,0,0,0,0,0,0
4.18013,0,0,45,45,0,0,0,0,0,0,0,0
4.20013,0,0,45,45,0,0,0,0,0,0,0,0
4.22014,0,0,45,45,0,0,0,0,0,0,0,0
4.24016,0,0,45,45,0,0,0,0,0,0,0,0
4.26013,0,0,45,45,0,0,0,0,0,0,0,0
4.28014,0,0,45,45,0,0,0,0,0,0,0,0
4.30016,0,0,45,45,0,0,0,0,0,0,0,0
4.32013,0,0,45,45,0,0,0,0,0,0,0,0
4.34014,0,0,45,45,0,0,0,0,0,0,0,0
4.36013,0,0,45,45,0,0,0,0,0,0,0,0
4.38013,0,0,45,45,0,0,0,0,0,0,0,0
4.40019,0,0,45,45,0,0,0,0,0,0,0,0
4.42012,0,0,45,45,0,0,0,0,0,0,0,0
4.44014,0,0,45,45,0,0,0,0,0,0,0,0
4.46014,0,0,45,45,0,0,0,0,0,0,0,0
4.48013,0,0,45,45,0,0,0,0,0,0,0,0
4.50012,0,0,45,45,0,0,0,0,0,0,0,0
4.52018,0,0,45,45,0,0,0,0,0,0,0,0
4.54013,0,0,45,45,0,0,0,0,0,0,0,0
4.56013,0,0,45,45,0,0,0,0,0,0,0,0
4.58013,0,0,45,45,0,0,0,0,0,0,0,0
4.60016,0,0,45,45,0,0,0,0,0,0,0,0
4.62013,0,0,45,45,0,0,0,0,0,0,0,0
4.64014,0,0,45,45,0,0,0,0,0,0,0,0
4.66014,0,0,45,45,0,0,0,0,0,0,0,0
4.68012,0,0,45,45,0,0,0,0,0,0,0,0
4.70014,0,0,45,45,0,0,0,0,0,0,0,0
4.72013,0,0,45,45,0,0,0,0,0,0,0,0
4.74019,0,0,45,45,0,0,0,0,0,0,0,0
4.76013,0,0,45,45,0,0,0,0,0,0,0,0
4.78013,0,0,45,45,0,0,0,0,0,0,0,0
4.80014,0,0,45,45,0,0,0,0,0,0,0,0
4.82013,0,0,45,45,0,0,0,0,0,0,0,0
4.84013,0,0,45,45,0,0,0,0,0,0,0,0
4.86013,0,0,45,45,0,0,0,0,0,0,0,0
4.88013,0,0,45,45,0,0,0,0,0,0,0,0
4.90025,0,0,45,45,0,0,0,0,0,0,0,0
4.92013,0,0,45,45,0,0,0,0,0,0,0,0
4.94015,0,0,45,45,0,0,0,0,0,0,0,0
4.96013,0,0,45,45,0,0,0,0,0,0,0,0
4.98012,0,0,45,45,0,0,0,0,0,0,0,0
5.00013,0,0,45,45,0,0,0,0,0,0,0,0
5.02013,0,0,45,45,0,0,0,0,0,0,0,0
5.04012,0,0,45,45,0,0,0,0,0,0,0,0
5.06015,0,0,45,45,0,0,0,0,0,0,0,0
5.08013,0,0,45,45,0,0,0,0,0,0,0,0
5.10018,0,0,45,45,0,0,0,0,0,0,0,0
5.12013,0,0,45,45,0,0,0,0,0,0,0,0
5.14013,0,0,45,45,0,0,0,0,0,0,0,0
5.16016,0,0,45,45,0,0,0,0,0,0,0,0
5.18098,0,0,45,45,0,0,0,0,0,0,0,0
5.20014,0,0,45,45,0,0,0,0,0,0,0,0
5.22012,0,0,45,45,0,0,0,0,0,0,0,0
5.24014,0,0,45,45,0,0,0,0,0,0,0,0
5.26015,0,0,45,45,0,0,0,0,0,0,0,0
5.28013,0,0,45,45,0,0,0,0,0,0,0,0
5.30014,0,0,45,45,0,0,0,0,0,0,0,0
5.32014,0,0,45,45,0,0,0,0,0,0,0,0
5.34033,0,0,45,45,0,0,0,0,0,0,0,0
5.36013,0,0,45,45,0,0,0,0,0,0,0,0
5.38012,0,0,45,45,0,0,0,0,0,0,0,0
5.40016,0,0,45,45,0,0,0,0,0,0,0,0
5.42014,0,0,45,45,0,0,0,0,0,0,0,0
5.44012,0,0,45,45,0,0,0,0,0,0,0,0
5.46013,0,0,45,45,0,0,0,0,0,0,0,0
5.48013,0,0,45,45,0,0,0,0,0,0,0,0
5.50012,0,0,45,45,0,0,0,0,0,0,0,0
5.52013,0,0,45,45,0,0,0,0,0,0,0,0
5.54017,0,0,45,45,0,0,0,0,0,0,0,0
5.56015,0,0,45,45,0,0,0,0,0,0,0,0
5.58016,0,0,45,45,0,0,0,0,0,0,0,0
5.60013,0,0,45,45,0,0,0,0,0,0,0,0
5.62013,0,0,45,45,0,0,0,0,0,0,0,0
5.64018,0,0,45,45,0,0,0,0,0,0,0,0
5.66024,0,0,45,45,0,0,0,0,0,0,0,0
5.68012,0,0,45,45,0,0,0,0,0,0,0,0
5.70012,0,0,45,45,0,0,0,0,0,0,0,0
5.72013,0,0,45,45,0,0,0,0,0,0,0,0
5.74013,0,0,45,45,0,0,0,0,0,0,0,0
5.76014,0,0,45,45,0,0,0,0,0,0,0,0
5.78013,0,0,45,45,0,0,0,0,0,0,0,0
5.80013,0,0,45,45,0,0,0,0,0,0,0,0
5.82013,0,0,45,45,0,0,0,0,0,0,0,0
5.84013,0,0,45,45,0,0,0,0,0,0,0,0
5.86013,0,0,45,45,0,0,0,0,0,0,0,0
5.88012,0,0,45,45,0,0,0,0,0,0,0,0
5.90012,0,0,45,45,0,0,0,0,0,0,0,0
5.92012,0,0,45,45,0,0,0,0,0,0,0,0
5.94013,0,0,45,45,0,0,0,0,0,0,0,0
5.96012,0,0,45,45,0,0,0,0,0,0,0,0
5.98012,0,0,45,45,0,0,0,0,0,0,0,0
6.00012,0,0,45,45,0,0,0,0,0,0,0,0
6.02011,0,0,45,45,0,0,0,0,0,0,0,0
6.04016,0,0,45,45,0,0,0,0,0,0,0,0
6.06013,0,0,45,45,0,0,0,0,0,0,0,0
6.08012,0,0,45,45,0,0,0,0,0,0,0,0
6.10014,0,0,45,45,0,0,0,0,0,0,0,0
6.12013,0,0,45,45,0,0,0,0,0,0,0,0
6.14018,0,0,45,45,0,0,0,0,0,0,0,0
6.16013,0,0,45,45,0,0,0,0,0,0,0,0
6.18017,0,0,45,45,0,0,0,0,0,0,0,0
6.20013,0,0,45,45,0,0,0,0,0,0,0,0
6.22013,0,0,45,45,0,0,0,0,0,0,0,0
6.24013,0,0,45,45,0,0,0,0,0,0,0,0
6.26016,0,0,45,45,0,0,0,0,0,0,0,0
6.28013,0,0,45,45,0,0,0,0,0,0,0,0
6.30017,0,0,45,45,0,0,0,0,0,0,0,0
6.32013,0,0,45,45,0,0,0,0,0,0,0,0
6.34013,0,0,45,45,0,0,0,0,0,0,0,0
6.36017,0,0,45,45,0,0,0,0,0,0,0,0
6.38012,0,0,45,45,0,0,0,0,0,0,0,0
6.40015,0,0,45,45,0,0,0,0,0,0,0,0
6.42014,0,0,45,45,0,0,0,0,0,0,0,0
6.44019,0,0,45,45,0,0,0,0,0,0,0,0
6.46018,0,0,45,45,0,0,0,0,0,0,0,0
6.48013,0,0,45,45,0,0,0,0,0,0,0,0
6.50012,0,0,45,45,0,0,0,0,0,0,0,0
6.52015,0,0,45,45,0,0,0,0,0,0,0,0
6.54012,0,0,45,45,0,0,0,0,0,0,0,0
6.56012,0,0,45,45,0,0,0,0,0,0,0,0
6.58014,0,0,45,45,0,0,0,0,0,0,0,0
6.60014,0,0,45,45,0,0,0,0,0,0,0,0
6.62012,0,0,45,45,0,0,0,0,0,0,0,0
6.64014,0,0,45,45,0,0,0,0,0,0,0,0
6.66012,0,0,45,45,0,0,0,0,0,0,0,0
6.68012,0,0,45,45,0,0,0,0,0,0,0,0
6.70013,0,0,45,45,0,0,0,0,0,0,0,0
6.72014,0,0,45,45,0,0,0,0,0,0,0,0
6.74015,0,0,45,45,0,0,0,0,0,0,0,0
6.7601,0,0,45,45,0,0,0,0,0,0,0,0
6.78013,0,0,45,45,0,0,0,0,0,0,0,0
6.80017,0,0,45,45,0,0,0,0,0,0,0,0
